﻿时间,点位,AD值,N值
"2025-08-11 15:44:45.034",右脚30-5,374,1.5
"2025-08-11 15:44:58.417",右脚30-5,497,1.8
"2025-08-11 15:45:08.116",右脚30-5,689,2.1
"2025-08-11 15:45:25.319",右脚30-5,795,2.4
"2025-08-11 15:45:39.986",右脚30-5,900,2.7
"2025-08-11 15:46:20.723",右脚30-5,1196,3.0
"2025-08-11 15:46:43.423",右脚30-5,1316,3.3
"2025-08-11 15:47:43.553",右脚31-5,289,0.9
"2025-08-11 15:47:58.451",右脚31-5,521,1.2
"2025-08-11 15:48:14.729",右脚31-5,682,1.5
"2025-08-11 15:48:28.772",右脚31-5,796,1.8
"2025-08-11 15:48:49.255",右脚31-5,1034,2.1
"2025-08-11 15:49:04.085",右脚31-5,1107,2.4
"2025-08-11 15:49:21.364",右脚31-5,1243,2.7
"2025-08-11 15:49:42.329",右脚31-5,1316,3.0
"2025-08-11 15:50:24.402",右脚33-4,232,1.2
"2025-08-11 15:50:44.257",右脚33-4,335,1.5
"2025-08-11 15:51:40.420",右脚33-4,511,1.8
"2025-08-11 15:51:50.814",右脚33-4,656,2.1
"2025-08-11 15:52:03.223",右脚33-4,811,2.4
"2025-08-11 15:52:16.784",右脚33-4,895,2.7
"2025-08-11 15:52:58.793",右脚33-4,968,3.0
"2025-08-11 15:53:21.960",右脚33-4,1046,3.3
"2025-08-11 15:54:45.453",右脚33-4,1198,3.6
"2025-08-11 15:55:33.945",右脚33-4,1313,3.9
